geohash4,lat_c,lng_c,mean_severity,event_count,lisa_cluster
9z7t,41.7635,-96.1779,1.6152825683205094,3769,0
9z9n,43.3906,-99.8422,1.5796946155906777,3733,2
9zes,42.9895,-96.0606,1.4640625,1920,0
9zgh,44.3048,-96.8169,1.6333768900504013,5357,0
9zgw,44.7297,-96.2623,1.5178737233054782,4308,0
9zhr,40.7242,-95.0222,1.895231699126931,4467,0
9zmk,41.534,-93.6531,1.4095811387007775,3987,0
9zq9,41.0521,-91.9834,2.3704340352385045,2327,0
9zum,44.5483,-95.0804,1.6105347166799682,3759,0
9zv8,43.6822,-93.3722,1.5240183792815372,4788,0
9zvz,44.9324,-93.0559,1.54381049414162,3926,0
9zz6,43.9581,-90.7397,1.487508440243079,4443,0
c20g,45.5511,-122.4089,1.3846615939126952,4994,0
c20s,45.7691,-122.8637,1.6109192567012005,6081,0
c22g,47.0792,-122.58079999999998,1.2564050837199918,9914,0
c22w,47.4903,-122.76479999999998,1.7634447674418605,5504,0
c25y,46.0946,-118.2858,1.5901972157772621,3448,0
c2h1,45.2907,-118.00880000000001,1.4010935992280475,3109,0
c8n7,45.6044,-103.5464,2.5306553911205074,473,1
c8qf,46.7973,-102.8019,1.67983789260385,3948,1
c8x4,48.3008,-102.4064,1.9686924493554327,4887,1
cb4q,46.1731,-98.0799,2.145817344589409,3909,0
cb55,45.6689,-96.9914,1.690909090909091,275,0
cb5x,46.2865,-96.1534,1.5679983000424988,4706,0
cb7f,46.8285,-95.88570000000001,1.5689139236049991,5681,0
cb9n,48.8844,-99.62080000000002,1.775787093407549,5749,1
cbhh,45.868,-95.394,1.7477203647416413,4277,0
cbj8,45.0625,-93.3508,1.5881285640228098,3858,0
cbjv,46.0244,-92.8991,1.4846237731733916,4585,0
dhty,26.5381,-81.7567,1.5553080920564217,4041,0
dhvn,27.9126,-82.6855,1.6130247578040904,3716,0
dhyf,27.1816,-80.2252,1.3434856175972927,2955,0
dj87,31.4671,-89.3371,1.8791316252689223,5113,0
djd8,31.042499999999997,-86.3117,1.7030638101819857,4341,0
djfg,32.9147,-85.9628,1.4611150568181819,5632,2
djgv,33.3544,-84.5689,1.676536655094956,4897,0
djt3,31.2504,-82.3957,1.6418506341005166,4258,0
djtg,31.554,-81.8825,1.6325120192307692,3328,0
dn1b,33.902,-87.314,2.410446607943131,6471,0
dn4d,34.2291,-86.25580000000001,1.3875924871940808,3514,2
dnct,39.0136,-87.6485,1.543550165380375,5442,0
dnjd,34.2487,-82.1591,1.6736049601417184,4516,0
dnjw,34.9157,-81.9565,1.4359600895947873,4911,0
dnkh,36.023,-84.2336,1.6421594743384833,5631,0
dnrf,35.5825,-79.1014,1.8465608465608465,5859,4
